  Time                 , V(VN)                , V(VS)                
  1.202389897541e+01  ,1.183900236036e+00  ,1.991581283824e+00  
  1.202399530590e+01  ,1.188949084491e+00  ,1.999608825000e+00  
  1.202411702080e+01  ,1.195332142059e+00  ,2.009751733333e+00  
  1.202445224310e+01  ,1.212917024619e+00  ,2.037686925000e+00  
  1.202449753580e+01  ,1.215294460650e+00  ,2.041461316667e+00  
  1.202452493920e+01  ,1.216731821769e+00  ,2.043744933333e+00  
  1.202454148160e+01  ,1.217600695556e+00  ,2.045123466667e+00  
  1.202454405430e+01  ,1.217735681217e+00  ,2.045337858333e+00  
  1.202454472560e+01  ,1.217771543306e+00  ,2.045393800000e+00  
  1.202454472920e+01  ,1.217772169155e+00  ,2.045394100000e+00  
  1.202454472930e+01  ,1.217772068456e+00  ,2.045394108333e+00  
  1.202454488070e+01  ,1.217780119041e+00  ,2.045406724650e+00  
  1.202454503376e+01  ,1.217787844012e+00  ,2.045419480044e+00  
  1.202454533989e+01  ,1.217803450651e+00  ,2.045444990832e+00  
  1.202454595215e+01  ,1.217834308860e+00  ,2.045496012408e+00  
  1.202454717667e+01  ,1.217896461720e+00  ,2.045598055560e+00  
  1.202454962570e+01  ,1.218021075125e+00  ,2.045802141863e+00  
  1.202455452377e+01  ,1.218273021514e+00  ,2.046210314471e+00  
  1.202455921600e+01  ,1.218513605418e+00  ,2.046601333333e+00  
  1.202455947890e+01  ,1.218527921825e+00  ,2.046623241667e+00  
  1.202455947920e+01  ,1.218528709025e+00  ,2.046623266667e+00  
  1.202455947930e+01  ,1.218527828809e+00  ,2.046623275000e+00  
  1.202455949210e+01  ,1.218529294012e+00  ,2.046624341551e+00  
  1.202455950508e+01  ,1.218529072823e+00  ,2.046625423499e+00  
  1.202455953105e+01  ,1.218530886690e+00  ,2.046627587396e+00  
  1.202455958298e+01  ,1.218532117200e+00  ,2.046631915190e+00  
  1.202455968685e+01  ,1.218536984758e+00  ,2.046640570778e+00  
  1.202455989458e+01  ,1.218544322765e+00  ,2.046657881953e+00  
  1.202456031005e+01  ,1.218561487156e+00  ,2.046692504305e+00  
  1.202456114099e+01  ,1.218593859579e+00  ,2.046761749007e+00  
  1.202456280286e+01  ,1.218685760745e+00  ,2.046900238413e+00  
  1.202456612661e+01  ,1.218867923133e+00  ,2.047177217223e+00  
  1.202457277410e+01  ,1.219231550233e+00  ,2.047731174845e+00  
  1.202458606908e+01  ,1.219937381218e+00  ,2.048839090087e+00  
  1.202461265905e+01  ,1.221335999900e+00  ,2.051054920572e+00  
  1.202466583898e+01  ,1.224125007750e+00  ,2.055486581542e+00  
  1.202477219884e+01  ,1.229707930470e+00  ,2.064349903482e+00  
  1.202498491857e+01  ,1.240869715111e+00  ,2.082076547363e+00  
  1.202541035802e+01  ,1.263197697815e+00  ,2.117529835123e+00  
  1.202626123693e+01  ,1.307848765980e+00  ,2.188436410644e+00  
  1.202796299474e+01  ,1.397149044904e+00  ,2.330249561685e+00  
  1.203000000001e+01  ,1.504028514028e+00  ,2.500000000000e+00  
  1.203034035157e+01  ,1.504513494321e+00  ,2.500000000000e+00  
  1.203102101564e+01  ,1.504491372616e+00  ,2.500000000000e+00  
  1.203238234376e+01  ,1.504365648027e+00  ,2.500000000000e+00  
  1.203510500001e+01  ,1.504190688021e+00  ,2.500000000000e+00  
  1.204055031251e+01  ,1.503765564994e+00  ,2.500000000000e+00  
  1.205144093751e+01  ,1.502989346161e+00  ,2.500000000000e+00  
  1.207322218751e+01  ,1.501361570903e+00  ,2.500000000000e+00  
  1.211678468751e+01  ,1.498174548498e+00  ,2.500000000000e+00  
  1.220390968751e+01  ,1.491705755237e+00  ,2.500000000000e+00  
  1.237815968751e+01  ,1.478762064595e+00  ,2.500000000000e+00  
  1.272665968751e+01  ,1.452516250429e+00  ,2.500000000000e+00  
  1.342365968751e+01  ,1.399259240949e+00  ,2.500000000000e+00  
  1.442365968751e+01  ,1.322167200386e+00  ,2.500000000000e+00  
  1.542365968751e+01  ,1.246654449380e+00  ,2.500000000000e+00  
  1.642365968751e+01  ,1.175071022008e+00  ,2.500000000000e+00  
  1.700000000001e+01  ,1.136524249916e+00  ,2.500000000000e+00  
  1.700300000001e+01  ,1.016617000452e+00  ,2.249999999100e+00  
  1.700479715580e+01  ,9.445956579875e-01  ,2.100237016667e+00  
  1.700544080440e+01  ,9.188008102938e-01  ,2.046599633333e+00  
  1.700569469650e+01  ,9.086283947108e-01  ,2.025441958333e+00  
  1.700569469660e+01  ,9.086161898449e-01  ,2.025441950000e+00  
  1.700570840751e+01  ,9.080887024757e-01  ,2.024299373958e+00  
  1.700573583061e+01  ,9.069687047740e-01  ,2.022014115983e+00  
  1.700577832328e+01  ,9.052869757870e-01  ,2.018473059668e+00  
  1.700586330864e+01  ,9.018604023731e-01  ,2.011390947038e+00  
  1.700599409220e+01  ,8.966413743910e-01  ,2.000492316667e+00  
  1.700602806180e+01  ,8.952589473920e-01  ,1.997661516667e+00  
  1.700617056220e+01  ,8.895699595450e-01  ,1.985786483333e+00  
  1.700619120320e+01  ,8.887220646138e-01  ,1.984066400000e+00  
  1.700620703900e+01  ,8.881084581953e-01  ,1.982746750000e+00  
  1.700621618830e+01  ,8.877214349923e-01  ,1.981984308333e+00  
  1.700623704530e+01  ,8.869061922887e-01  ,1.980246225000e+00  
  1.700624327950e+01  ,8.866361351102e-01  ,1.979726708333e+00  
  1.700624857130e+01  ,8.864447003580e-01  ,1.979285725000e+00  
  1.700624894280e+01  ,8.864101500367e-01  ,1.979254766667e+00  
  1.700624894330e+01  ,8.864306998439e-01  ,1.979254725000e+00  
  1.700624894340e+01  ,8.864107166883e-01  ,1.979254716667e+00  
  1.700624895161e+01  ,8.864303674200e-01  ,1.979254032703e+00  
  1.700624895993e+01  ,8.864079110208e-01  ,1.979253339178e+00  
  1.700624897657e+01  ,8.864213524503e-01  ,1.979251952129e+00  
  1.700624900986e+01  ,8.864002753980e-01  ,1.979249178029e+00  
  1.700624907644e+01  ,8.864294075756e-01  ,1.979243629830e+00  
  1.700624920960e+01  ,8.864038922475e-01  ,1.979232533432e+00  
  1.700624947591e+01  ,8.864129331778e-01  ,1.979210340636e+00  
  1.700625000854e+01  ,8.863707764540e-01  ,1.979165955044e+00  
  1.700625107379e+01  ,8.863464836613e-01  ,1.979077183860e+00  
  1.700625320430e+01  ,8.862380387727e-01  ,1.978899641491e+00  
  1.700625746532e+01  ,8.860854131635e-01  ,1.978544556754e+00  
  1.700626598735e+01  ,8.857240352663e-01  ,1.977834387280e+00  
  1.700628276030e+01  ,8.850711940904e-01  ,1.976436641667e+00  
  1.700628282350e+01  ,8.850455896463e-01  ,1.976431375000e+00  
  1.700628282360e+01  ,8.850481677800e-01  ,1.976431366667e+00  
  1.700628289550e+01  ,8.850542054861e-01  ,1.976425375407e+00  
  1.700628296465e+01  ,8.850424381671e-01  ,1.976419612631e+00  
  1.700628309399e+01  ,8.850453349878e-01  ,1.976408834124e+00  
  1.700628335267e+01  ,8.850249000243e-01  ,1.976387277111e+00  
  1.700628387004e+01  ,8.850104444427e-01  ,1.976344163085e+00  
  1.700628490478e+01  ,8.849558372167e-01  ,1.976257935032e+00  
  1.700628697425e+01  ,8.848743691342e-01  ,1.976085478926e+00  
  1.700629111320e+01  ,8.847102871514e-01  ,1.975740566715e+00  
  1.700629939109e+01  ,8.843974657939e-01  ,1.975050742293e+00  
  1.700631594688e+01  ,8.837303688051e-01  ,1.973671093448e+00  
  1.700634905845e+01  ,8.824110701098e-01  ,1.970911795760e+00  
  1.700638295127e+01  ,8.810446223360e-01  ,1.968087393904e+00  
  1.700645073692e+01  ,8.783371364116e-01  ,1.962438590193e+00  
  1.700658630821e+01  ,8.728961661691e-01  ,1.951140982771e+00  
  1.700685745078e+01  ,8.620405601687e-01  ,1.928545767927e+00  
  1.700739973594e+01  ,8.403037643875e-01  ,1.883355338240e+00  
  1.700848430625e+01  ,7.968589615193e-01  ,1.792974478865e+00  
  1.701065344688e+01  ,7.099539002520e-01  ,1.612212760115e+00  
  1.701499172813e+01  ,5.362447053194e-01  ,1.250689322615e+00  
  1.702366829063e+01  ,1.926750249113e-01  ,5.276424476150e-01  
  1.702376722359e+01  ,1.889171925432e-01  ,5.193980343554e-01  
  1.702396509956e+01  ,1.814334054070e-01  ,5.029083696417e-01  
  1.702401456856e+01  ,1.144128723245e-01  ,4.987859534632e-01  
  1.702411350655e+01  ,-1.899256469042e-01  ,4.905411211065e-01  
  1.702431138252e+01  ,-1.938854274777e-01  ,4.740514563928e-01  
  1.702461333565e+01  ,-1.899884636514e-01  ,4.488886959762e-01  
  1.702520112862e+01  ,-1.938951206685e-01  ,3.999059485803e-01  
  1.702637671455e+01  ,-1.900597470812e-01  ,3.019404537886e-01  
  1.702667061104e+01  ,-1.939194250299e-01  ,2.774490800907e-01  
  1.702725840401e+01  ,-1.901154892548e-01  ,2.284663326947e-01  
  1.702843398995e+01  ,-1.672134884720e-01  ,1.305008379031e-01  
  1.702845845885e+01  ,-1.182673922449e-01  ,1.284617622952e-01  
  1.702850209289e+01  ,-9.307648317917e-02  ,1.248255928615e-01  
  1.702858936095e+01  ,-4.587680819679e-06  ,1.175532539944e-01  
  1.702860733581e+01  ,-2.262549683163e-06  ,1.160553495347e-01  
  1.702864328551e+01  ,-1.223889759427e-06  ,1.130595406155e-01  
  1.702871518493e+01  ,-6.889522784492e-07  ,1.070679227769e-01  
  1.702885898375e+01  ,-4.773401649227e-07  ,9.508468709966e-02  
  1.702914658141e+01  ,-3.885415985616e-07  ,7.111821574549e-02  
  1.702972177672e+01  ,-3.866378198158e-07  ,2.318527303717e-02  
  1.703000000001e+01  ,-3.799629003931e-07  ,0.000000000000e+00  
  1.703008900148e+01  ,-3.845918476186e-07  ,0.000000000000e+00  
  1.703026700441e+01  ,-3.847248242206e-07  ,0.000000000000e+00  
  1.703049173585e+01  ,-3.847994594353e-07  ,0.000000000000e+00  
  1.703094119874e+01  ,-3.848836336862e-07  ,0.000000000000e+00  
  1.703184012452e+01  ,-3.850191530597e-07  ,0.000000000000e+00  
  1.703363797609e+01  ,-3.852837178742e-07  ,0.000000000000e+00  
  1.703723367921e+01  ,-3.857524850659e-07  ,0.000000000000e+00  
  1.704442508546e+01  ,-3.869879645624e-07  ,0.000000000000e+00  
